ID,Name,Height,Weight,Age,Sex,Profession,Salary
88,Суворов Андрей,189.0,110.0,18,м,сантехник,97000
89,Горшков Ефрем,168.0,105.0,54,м,студент,195000
90,Петухов Захар,175.0,95.0,21,м,сантехник,443000
91,Беспалов Игнат,166.0,86.0,22,м,инженер,318000
92,Игнатьев Семен,,51.0,73,м,студент,207000
93,Пахомов Кирилл,175.0,52.0,29,м,сантехник,326000
94,Фёдоров Борислав,193.0,73.0,89,м,продавец,141000
95,Воробьёв Климент,184.0,90.0,31,м,автослесарь,248000
96,Корнилов Радий,180.0,112.0,34,м,сантехник,237000
97,Воронов Радослав,170.0,68.0,69,м,инженер,453000
98,Максимов Альберт,166.0,90.0,89,м,сантехник,209000
99,Федотов Тимофей,174.0,73.0,51,м,студент,70000
100,Сафонов Касьян,192.0,108.0,64,м,бухгалтер,382000
101,Лыткин Михаил,177.0,90.0,60,м,студент,43000
102,Чернов Моисей,187.0,118.0,24,м,инженер,486000
103,Горшков Денис,169.0,95.0,75,м,автослесарь,423000
104,Щербаков Ростислав,171.0,104.0,75,м,инженер,451000
105,Ширяев Булат,172.0,58.0,82,м,студент,42000
106,Кудряшов Емельян,166.0,99.0,80,м,бухгалтер,188000
107,Пестов Матвей,180.0,98.0,26,м,бухгалтер,165000
108,Меркушев Ефрем,179.0,109.0,35,м,преподаватель,91000
109,Владимиров Модест,193.0,109.0,26,м,сантехник,414000
110,Архипов Касьян,190.0,95.0,68,м,автослесарь,150000
111,Буров Ринат,177.0,57.0,77,м,программист,406000
112,Александров Семен,189.0,118.0,73,м,врач,430000
113,Иванков Кирилл,169.0,78.0,78,м,студент,403000
114,Комиссаров Мартын,183.0,84.0,26,м,студент,143000
115,Кабанов Юрий,185.0,105.0,68,м,преподаватель,353000
116,Давыдов Алексей,186.0,103.0,70,м,программист,384000
117,Харитонов Эльдар,174.0,63.0,88,м,студент,31000
118,Зимин Аполлон,185.0,,61,м,врач,125000
119,Муравьёв Демид,176.0,87.0,23,м,инженер,137000
120,Поляков Диомид,185.0,107.0,69,м,продавец,299000
121,Яковлев Денис,172.0,69.0,46,м,продавец,410000
122,Дроздов Никифор,167.0,119.0,58,м,автослесарь,36000
123,Рогов Вилен,185.0,94.0,29,м,бухгалтер,470000
124,Игнатов Арсений,172.0,58.0,58,м,инженер,80000
125,Коновалов Демид,170.0,88.0,21,м,сантехник,377000
126,Абрамов Эдуард,168.0,94.0,45,м,сантехник,404000
127,Кулагин Климент,172.0,110.0,80,м,врач,478000
128,Ковалёв Климент,,98.0,45,м,бухгалтер,20000
129,Яковлев Илья,173.0,63.0,52,м,продавец,28000
130,Казаков Владлен,194.0,,30,м,автослесарь,416000
131,Николаев Андрей,177.0,107.0,70,м,инженер,243000
132,Красильников Влас,190.0,118.0,81,м,продавец,26000
133,Кулагин Геннадий,192.0,91.0,75,м,инженер,328000
134,Шашков Арсен,181.0,,83,м,сантехник,279000
135,Блохин Даниил,193.0,62.0,88,м,инженер,305000
136,Сергеев Тарас,171.0,94.0,37,м,сантехник,76000
137,Селезнёв Кирилл,177.0,69.0,87,м,программист,158000
138,Кузнецов Андрей,181.0,67.0,83,м,бухгалтер,344000
139,Фокин Антоний,191.0,93.0,75,м,бухгалтер,386000
140,Стрелков Максим,182.0,99.0,40,м,бухгалтер,170000
141,Якушев Августин,172.0,92.0,40,м,преподаватель,370000
142,Попов Юрий,193.0,78.0,76,м,инженер,322000
143,Сазонов Болеслав,189.0,63.0,80,м,продавец,259000
144,Сысоев Аким,188.0,58.0,36,м,студент,317000
145,Крюков Ренат,185.0,104.0,84,м,сантехник,351000
146,Коновалов Кир,182.0,93.0,81,м,преподаватель,17000
147,Красильников Фёдор,177.0,104.0,79,м,программист,11000
148,Орлов Всеволод,187.0,117.0,78,м,автослесарь,57000
149,Авдеев Демьян,177.0,,30,м,студент,370000
150,Мельников Алексей,191.0,95.0,63,м,преподаватель,79000
151,Аксёнов Ярослав,179.0,90.0,72,м,врач,299000
152,Васильев Рустам,190.0,90.0,84,м,студент,160000
153,Матвеев Евстахий,190.0,116.0,21,м,преподаватель,236000
154,Шубин Антоний,172.0,93.0,45,м,преподаватель,130000
155,Силин Андрей,175.0,62.0,51,м,инженер,173000
156,Корнилов Аристарх,177.0,52.0,26,м,врач,18000
157,Бирюков Терентий,184.0,105.0,64,м,врач,410000
158,Борисов Иннокентий,191.0,87.0,22,м,программист,221000
159,Устинов Ян,178.0,102.0,83,м,преподаватель,470000
160,Емельянов Антоний,171.0,101.0,82,м,автослесарь,29000
161,Куликов Дамир,191.0,105.0,74,м,бухгалтер,299000
162,Федотов Макарий,173.0,71.0,70,м,программист,383000
163,Евдокимов Димитрий,176.0,100.0,54,м,врач,214000
164,Морозов Роман,165.0,86.0,21,м,врач,389000
165,Родионов Данислав,177.0,96.0,22,м,студент,355000
166,Суханов Диомид,170.0,89.0,46,м,инженер,332000
167,Мамонтов Святослав,170.0,80.0,47,м,сантехник,448000
168,Панов Никифор,172.0,116.0,25,м,автослесарь,256000
169,Шашков Арсен,176.0,83.0,20,м,автослесарь,206000
170,Мухин Семен,184.0,99.0,67,м,бухгалтер,402000
171,Туров Николай,,109.0,50,м,преподаватель,156000
172,Фомичёв Семён,181.0,78.0,61,м,сантехник,360000
173,Белоусов Кирилл,170.0,99.0,75,м,программист,486000
174,Ефремов Еремей,191.0,,23,м,бухгалтер,58000
175,Лобанов Мартин,169.0,77.0,32,м,бухгалтер,360000
176,Миронов Марат,176.0,115.0,33,м,врач,23000
177,Константинов Герасим,,96.0,86,м,сантехник,113000
178,Лобанов Елисей,168.0,107.0,62,м,продавец,449000
179,Шестаков Августин,175.0,69.0,43,м,преподаватель,445000
180,Зиновьев Николай,189.0,91.0,32,м,бухгалтер,193000
181,Сафонов Тихон,179.0,,33,м,продавец,409000
182,Гордеев Константин,168.0,70.0,59,м,студент,72000
183,Фёдоров Виктор,167.0,82.0,54,м,врач,303000
184,Дементьев Мирослав,183.0,87.0,32,м,автослесарь,452000
185,Рогов Трофим,174.0,51.0,51,м,автослесарь,208000
186,Волков Фаддей,172.0,90.0,18,м,сантехник,380000
187,Исаков Кондрат,174.0,111.0,49,м,автослесарь,108000
188,Николаев Мирон,184.0,101.0,73,м,бухгалтер,238000
189,Кулагин Аркадий,167.0,56.0,31,м,врач,395000
190,Осипов Глеб,166.0,70.0,57,м,сантехник,182000
191,Агафонов Серафим,178.0,66.0,56,м,инженер,139000
192,Терентьев Радик,178.0,111.0,68,м,продавец,386000
193,Корнилов Потап,188.0,98.0,67,м,студент,99000
194,Суханов Никола,169.0,,28,м,продавец,97000
195,Власов Леонид,169.0,104.0,45,м,бухгалтер,476000
196,Беспалов Потап,192.0,93.0,28,м,продавец,327000
197,Зайцев Димитрий,177.0,98.0,64,м,студент,324000
198,Селиверстов Климент,188.0,61.0,46,м,программист,287000
199,Кудрявцев Митрофан,181.0,83.0,72,м,продавец,445000
200,Зыков Макар,188.0,72.0,85,м,сантехник,482000
201,Степанов Никита,172.0,81.0,36,м,автослесарь,19000
202,Антонов Егорий,166.0,117.0,80,м,программист,355000
203,Цветков Филимон,174.0,71.0,27,м,автослесарь,194000
204,Журавлёв Остап,181.0,90.0,63,м,продавец,200000
205,Белоусов Пётр,173.0,68.0,68,м,преподаватель,367000
206,Блинов Валентин,,51.0,43,м,врач,228000
207,Беляев Арсен,180.0,114.0,51,м,автослесарь,294000
208,Сазонов Марк,170.0,73.0,36,м,инженер,428000
209,Дорофеев Ярослав,172.0,97.0,18,м,автослесарь,403000
210,Кошелев Климент,184.0,91.0,23,м,инженер,470000
211,Киселёв Тихон,191.0,59.0,78,м,инженер,122000
212,Лапин Пётр,176.0,113.0,33,м,сантехник,491000
213,Суворов Григорий,179.0,101.0,57,м,преподаватель,278000
214,Дементьев Юлий,188.0,59.0,70,м,инженер,176000
215,Гришин Терентий,175.0,63.0,46,м,инженер,102000
216,Дроздов Валентин,178.0,106.0,86,м,бухгалтер,487000
217,Рожков Глеб,187.0,66.0,78,м,студент,264000
218,Суворов Никита,167.0,103.0,72,м,врач,105000
219,Назаров Евдоким,176.0,113.0,39,м,инженер,361000
220,Исаев Семён,177.0,75.0,34,м,программист,254000
221,Фомичёв Ренат,171.0,119.0,34,м,автослесарь,388000
222,Новиков Платон,169.0,109.0,59,м,программист,343000
223,Носков Август,183.0,83.0,46,м,бухгалтер,277000
224,Игнатов Марат,185.0,103.0,49,м,сантехник,460000
225,Дорофеев Герман,176.0,76.0,80,м,программист,123000
226,Буров Марат,178.0,106.0,47,м,врач,21000
227,Авдеев Еремей,186.0,73.0,73,м,сантехник,422000
228,Афанасьев Еремей,183.0,,50,м,автослесарь,113000
229,Савельев Гордей,167.0,53.0,44,м,автослесарь,412000
230,Михайлов Святослав,173.0,68.0,53,м,студент,182000
231,Васильев Игнатий,171.0,74.0,47,м,инженер,69000
232,Воронов Эрик,177.0,117.0,25,м,врач,12000
233,Ковалёв Аристарх,172.0,109.0,63,м,автослесарь,15000
234,Мышкин Матвей,180.0,58.0,26,м,бухгалтер,282000
235,Данилов Чарли,167.0,114.0,78,м,преподаватель,117000
236,Фокин Виссарион,176.0,81.0,43,м,продавец,57000
237,Мухин Всеволод,172.0,83.0,76,м,сантехник,76000
238,Баранов Егорий,184.0,53.0,32,м,преподаватель,390000
239,Соболев Захар,192.0,115.0,36,м,студент,499000
240,Киселёв Болеслав,167.0,99.0,79,м,программист,145000
241,Антонов Тимофей,185.0,73.0,18,м,врач,294000
242,Горшков Болеслав,191.0,115.0,69,м,продавец,154000
243,Исаев Егорий,191.0,112.0,36,м,врач,52000
244,Большаков Аркадий,168.0,73.0,51,м,студент,415000
245,Цветков Агафон,170.0,84.0,44,м,автослесарь,226000
246,Блохин Артём,172.0,61.0,40,м,бухгалтер,245000
247,Морозов Платон,178.0,93.0,38,м,автослесарь,189000
248,Панфилов Сергей,182.0,87.0,21,м,преподаватель,54000
249,Бирюков Рустам,169.0,102.0,50,м,студент,250000
250,Галкин Мирослав,181.0,93.0,70,м,инженер,415000
251,Пестов Геннадий,174.0,84.0,18,м,врач,389000
252,Носков Лукьян,177.0,100.0,28,м,студент,22000
253,Фокин Юлиан,182.0,72.0,20,м,программист,62000
254,Воронцов Чарли,175.0,72.0,70,м,преподаватель,408000
255,Михайлов Радий,166.0,104.0,53,м,студент,484000
256,Воронцов Алексей,168.0,119.0,83,м,инженер,59000
257,Русаков Никита,175.0,100.0,72,м,студент,459000
258,Субботин Илья,177.0,52.0,72,м,врач,402000
259,Куликов Семён,182.0,57.0,49,м,продавец,156000
260,Носов Игнатий,185.0,50.0,51,м,бухгалтер,35000
261,Ковалёв Яков,176.0,92.0,37,м,программист,354000
262,Исаев Григорий,186.0,85.0,23,м,программист,131000
263,Шестаков Никодим,193.0,90.0,89,м,студент,431000
264,Воронов Савва,193.0,77.0,43,м,преподаватель,433000
265,Мамонтов Денис,193.0,62.0,74,м,продавец,481000
266,Прохоров Илья,180.0,117.0,70,м,преподаватель,448000
267,Михайлов Болеслав,177.0,76.0,19,м,сантехник,354000
268,Галкин Григорий,191.0,89.0,40,м,инженер,250000
269,Горшков Арсентий,185.0,79.0,31,м,инженер,262000
270,Мишин Валерий,172.0,,52,м,студент,161000
271,Павлов Борис,174.0,110.0,26,м,инженер,13000
272,Панов Семен,183.0,76.0,76,м,бухгалтер,126000
273,Власов Климент,166.0,56.0,60,м,преподаватель,82000
274,Осипов Феликс,168.0,67.0,21,м,программист,95000
275,Моисеев Анатолий,177.0,74.0,82,м,преподаватель,400000
276,Борисов Филимон,165.0,96.0,53,м,продавец,143000
277,Кабанов Виктор,188.0,72.0,27,м,продавец,40000
278,Константинов Бронислав,168.0,107.0,83,м,сантехник,185000
279,Муравьёв Вадим,193.0,83.0,34,м,автослесарь,322000
280,Лобанов Ренат,186.0,86.0,71,м,автослесарь,375000
281,Фомин Герман,168.0,63.0,60,м,продавец,13000
282,Евсеев Серафим,165.0,51.0,89,м,инженер,366000
283,Тимофеев Владимир,180.0,99.0,44,м,врач,348000
284,Брагин Никодим,173.0,101.0,53,м,программист,270000
285,Соловьёв Артемий,182.0,108.0,25,м,автослесарь,99000
286,Емельянов Аркадий,187.0,96.0,69,м,врач,35000
287,Тихонов Константин,182.0,59.0,42,м,продавец,373000
288,Доронин Артур,173.0,78.0,56,м,врач,368000
289,Кононов Вадим,189.0,106.0,81,м,бухгалтер,285000
290,Аксёнов Марк,171.0,51.0,54,м,инженер,260000
291,Стрелков Юрий,190.0,62.0,64,м,студент,330000
292,Пестов Мирослав,192.0,109.0,38,м,бухгалтер,432000
293,Рябов Авраам,175.0,99.0,88,м,преподаватель,229000
294,Савин Дамир,184.0,54.0,75,м,продавец,110000
295,Виноградов Евдоким,179.0,113.0,36,м,автослесарь,343000
296,Кузнецов Савелий,188.0,62.0,70,м,автослесарь,79000
297,Медведев Бенедикт,190.0,97.0,68,м,преподаватель,61000
298,Данилов Евдоким,172.0,85.0,33,м,преподаватель,61000
299,Григорьев Сидор,192.0,114.0,71,м,сантехник,195000
300,Коновалов Игнатий,193.0,85.0,82,м,врач,322000
301,Денисов Дмитрий,190.0,114.0,39,м,врач,486000
302,Карпов Архип,168.0,103.0,33,м,программист,413000
303,Новиков Григорий,183.0,109.0,56,м,врач,43000
304,Рожков Ярослав,190.0,90.0,36,м,инженер,238000
305,Доронин Феликс,172.0,,48,м,студент,362000
306,Иванов Ренат,174.0,77.0,68,м,студент,360000
307,Яковлев Демид,190.0,115.0,47,м,программист,156000
308,Котов Давид,184.0,96.0,42,м,бухгалтер,237000
309,Шубин Кирилл,165.0,59.0,77,м,программист,65000
310,Марков Виталий,,59.0,67,м,студент,399000
311,Доронин Тихон,171.0,107.0,18,м,преподаватель,115000
312,Поляков Марк,175.0,86.0,47,м,врач,146000
313,Гуляев Дмитрий,179.0,52.0,23,м,врач,342000
314,Петухов Мирослав,193.0,95.0,37,м,программист,135000
315,Кононов Юрий,176.0,71.0,87,м,бухгалтер,178000
316,Сергеев Давид,,101.0,45,м,автослесарь,92000
317,Стрелков Демьян,191.0,92.0,28,м,студент,220000
318,Александров Ефим,172.0,114.0,20,м,автослесарь,468000
319,Щукин Дамир,165.0,,85,м,программист,43000
320,Аксёнов Арсентий,169.0,53.0,82,м,автослесарь,469000
321,Ларионов Вениамин,173.0,58.0,61,м,сантехник,402000
322,Исаков Юлий,192.0,91.0,46,м,продавец,53000
323,Гордеев Пётр,194.0,111.0,83,м,врач,198000
324,Карпов Бронислав,182.0,74.0,57,м,врач,110000
325,Пестов Егор,193.0,79.0,50,м,продавец,82000
326,Дьячков Мартин,171.0,91.0,58,м,преподаватель,215000
327,Игнатов Всеволод,186.0,112.0,87,м,врач,319000
328,Алексеев Герман,176.0,108.0,18,м,врач,170000
329,Суворов Диомид,173.0,114.0,57,м,преподаватель,273000
330,Лаврентьев Августин,186.0,84.0,82,м,сантехник,279000
331,Ефремов Денис,193.0,61.0,88,м,студент,267000
332,Ефремов Чарли,184.0,55.0,60,м,преподаватель,393000
333,Савин Виссарион,191.0,77.0,79,м,автослесарь,383000
334,Родионов Игнат,191.0,92.0,27,м,продавец,256000
335,Белозёров Макар,177.0,55.0,26,м,автослесарь,158000
336,Зыков Осип,170.0,89.0,36,м,инженер,109000
337,Федосеев Макарий,,109.0,23,м,студент,349000
338,Доронин Евстахий,193.0,104.0,65,м,врач,470000
339,Комаров Арсений,168.0,83.0,61,м,сантехник,157000
340,Антонов Анастасий,172.0,100.0,34,м,студент,349000
341,Галкин Илья,185.0,116.0,66,м,программист,352000
342,Николаев Харитон,173.0,62.0,39,м,врач,380000
343,Ермаков Демид,170.0,92.0,57,м,сантехник,118000
344,Тетерин Анастасий,172.0,60.0,31,м,автослесарь,57000
345,Дьячков Болеслав,174.0,,79,м,программист,141000
346,Корнилов Иероним,167.0,93.0,31,м,инженер,343000
347,Крюков Всеволод,166.0,,62,м,продавец,15000
348,Беляков Никанор,183.0,113.0,21,м,продавец,348000
349,Авдеев Аполлон,181.0,50.0,86,м,врач,88000
350,Авдеев Радомир,185.0,81.0,57,м,продавец,271000
351,Лобанов Григорий,193.0,63.0,18,м,автослесарь,98000
352,Пономарёв Болеслав,179.0,99.0,26,м,продавец,108000
353,Цветков Дамир,190.0,114.0,51,м,преподаватель,446000
354,Захаров Федот,189.0,96.0,60,м,врач,396000
355,Попов Илларион,187.0,58.0,81,м,сантехник,53000
356,Красильников Зиновий,173.0,64.0,89,м,программист,426000
357,Капустин Ренат,185.0,101.0,18,м,врач,490000
358,Мельников Зорийй,166.0,82.0,82,м,продавец,367000
359,Цветков Марат,180.0,56.0,74,м,врач,406000
360,Цветков Анфим,182.0,104.0,87,м,автослесарь,319000
361,Пестов Влас,187.0,62.0,36,м,автослесарь,177000
362,Ситников Иероним,192.0,,45,м,преподаватель,156000
363,Самойлов Леонид,166.0,86.0,61,м,продавец,340000
364,Некрасов Никола,174.0,102.0,32,м,бухгалтер,434000
365,Артемьев Виталий,184.0,58.0,86,м,студент,301000
366,Ширяев Модест,,81.0,79,м,преподаватель,127000
367,Киселёв Степан,168.0,79.0,25,м,врач,271000
368,Зуев Макарий,173.0,99.0,79,м,программист,316000
369,Поляков Евстахий,173.0,68.0,61,м,автослесарь,133000
370,Беляков Аполлон,192.0,117.0,41,м,инженер,450000
371,Веселов Федот,166.0,68.0,82,м,продавец,219000
372,Кириллов Спартак,182.0,60.0,30,м,автослесарь,198000
373,Лазарев Кир,189.0,59.0,87,м,врач,109000
374,Симонов Святослав,180.0,57.0,33,м,сантехник,407000
375,Чернов Болеслав,177.0,87.0,18,м,врач,228000
376,Маслов Анфим,168.0,74.0,77,м,врач,345000
377,Никонов Роман,165.0,117.0,46,м,автослесарь,430000
378,Гусев Ян,185.0,91.0,30,м,продавец,250000
379,Кабанов Наум,,96.0,78,м,студент,41000
380,Тетерин Бронислав,189.0,79.0,64,м,автослесарь,53000
381,Мухин Данислав,174.0,84.0,28,м,инженер,461000
382,Туров Иван,178.0,59.0,58,м,бухгалтер,283000
383,Уваров Авраам,,97.0,19,м,продавец,233000
384,Рогов Лукьян,184.0,85.0,88,м,студент,252000
385,Гусев Рустам,179.0,93.0,27,м,автослесарь,331000
386,Бобылёв Вадим,185.0,65.0,48,м,инженер,267000
387,Ларионов Осип,187.0,53.0,80,м,преподаватель,240000
388,Романов Диомид,166.0,,85,м,преподаватель,142000
389,Устинов Артур,169.0,118.0,52,м,врач,466000
390,Беляев Вольдемар,179.0,60.0,60,м,продавец,75000
391,Щербаков Фёдор,187.0,106.0,24,м,программист,222000
392,Андреев Леонид,169.0,94.0,68,м,преподаватель,127000
393,Стрелков Виссарион,190.0,107.0,54,м,преподаватель,177000
394,Соловьёв Виссарион,192.0,94.0,24,м,сантехник,285000
395,Рожков Эдуард,187.0,89.0,53,м,преподаватель,222000
396,Лукин Демьян,,74.0,33,м,врач,420000
397,Гордеев Архип,176.0,89.0,74,м,продавец,246000
398,Ситников Сидор,171.0,76.0,42,м,продавец,375000
399,Макаров Тимофей,171.0,109.0,39,м,врач,155000
400,Терентьев Анастасий,194.0,105.0,25,м,автослесарь,331000
401,Михеев Демьян,181.0,73.0,82,м,инженер,71000
402,Петров Валентин,,77.0,53,м,автослесарь,234000
403,Одинцов Глеб,189.0,104.0,32,м,продавец,327000
404,Миронов Фёдор,185.0,81.0,59,м,бухгалтер,126000
405,Фёдоров Антоний,192.0,102.0,83,м,врач,112000
406,Ефремов Арсен,172.0,115.0,88,м,студент,33000
407,Пахомов Игнат,191.0,79.0,83,м,автослесарь,442000
408,Гурьев Яромир,186.0,71.0,80,м,сантехник,389000
409,Орехов Павел,171.0,68.0,28,м,бухгалтер,485000
410,Шилов Емельян,167.0,117.0,41,м,программист,16000
411,Панфилов Родион,165.0,113.0,49,м,сантехник,489000
412,Агафонов Данил,180.0,99.0,78,м,студент,55000
413,Рыбаков Гордей,188.0,116.0,51,м,преподаватель,111000
414,Блинов Чарли,190.0,94.0,40,м,студент,255000
415,Комиссаров Владимир,168.0,51.0,30,м,преподаватель,260000
416,Терентьев Федот,187.0,56.0,47,м,инженер,483000
417,Симонов Вениамин,184.0,117.0,44,м,автослесарь,317000
418,Смирнов Константин,185.0,117.0,24,м,продавец,99000
419,Зайцев Эльдар,174.0,98.0,53,м,бухгалтер,140000
420,Денисов Платон,170.0,81.0,78,м,бухгалтер,441000
421,Лебедев Севастьян,190.0,63.0,73,м,продавец,153000
422,Герасимов Назар,184.0,111.0,56,м,автослесарь,480000
423,Михайлов Радомир,183.0,111.0,31,м,бухгалтер,72000
424,Петухов Кир,166.0,,30,м,продавец,77000
425,Беляев Борис,186.0,57.0,48,м,врач,281000
426,Петров Мартын,178.0,53.0,18,м,бухгалтер,74000
427,Зуев Лев,193.0,82.0,47,м,преподаватель,114000
428,Зыков Артур,177.0,102.0,29,м,врач,122000
429,Соболев Болеслав,182.0,88.0,61,м,преподаватель,138000
430,Кириллов Сидор,167.0,89.0,43,м,преподаватель,212000
431,Фролов Валерий,190.0,117.0,40,м,автослесарь,391000
432,Савин Филипп,168.0,87.0,70,м,сантехник,183000
433,Гришин Диомид,183.0,86.0,34,м,программист,228000
434,Белоусов Демид,168.0,71.0,67,м,преподаватель,241000
435,Мышкин Родион,187.0,114.0,18,м,автослесарь,248000
436,Суханов Диомид,174.0,71.0,42,м,врач,489000
437,Коновалов Леонтий,188.0,82.0,29,м,программист,80000
438,Мышкин Иеремия,189.0,101.0,20,м,сантехник,266000
439,Ермаков Кир,170.0,79.0,37,м,преподаватель,195000
440,Громов Савва,174.0,53.0,67,м,сантехник,276000
441,Королёв Радик,175.0,,44,м,автослесарь,30000
442,Меркушев Гордей,175.0,91.0,31,м,сантехник,462000
443,Игнатов Гавриил,172.0,90.0,82,м,врач,332000
444,Соколов Дамир,167.0,80.0,55,м,продавец,323000
445,Гордеев Всеволод,189.0,80.0,58,м,врач,180000
446,Смирнов Борис,175.0,78.0,23,м,студент,388000
447,Беляков Вячеслав,183.0,54.0,82,м,автослесарь,34000
448,Лебедев Денис,178.0,97.0,23,м,программист,315000
449,Сафонов Игорь,182.0,98.0,85,м,автослесарь,329000
450,Носов Данила,189.0,66.0,54,м,инженер,238000
451,Иванков Павел,189.0,107.0,25,м,врач,13000
452,Васильев Спартак,174.0,93.0,60,м,продавец,370000
453,Мясников Юлиан,165.0,107.0,69,м,сантехник,91000
